id,side,mode,est_off,est_on,type_off,type_on,truth,area_off,area_on,dets_off,dets_on,noop_off,noop_on
755397,rev,fullres,218.119,75.0,light,dark,78.952,0.998639,0.353437,1,1,True,False
755613,rev,fullres,214.724,75.0,light,dark,78.952,0.998639,0.357125,1,1,True,False
755613,rev,query518,212.859,75.0,light,dark,78.91,0.996061,0.362734,1,1,True,False
755614,obv,fullres,213.709,75.0,light,dark,78.944,0.998639,0.36838,1,1,True,False
755614,obv,query518,212.626,75.0,light,dark,78.89,0.996061,0.366992,1,1,True,False
755614,rev,fullres,214.544,75.0,light,dark,78.952,0.998639,0.360788,1,1,True,False
755614,rev,query518,213.36,75.0,light,dark,78.91,0.996061,0.358603,1,1,True,False
755617,obv,fullres,215.775,75.0,light,dark,78.944,0.998639,0.349568,1,1,True,False
755617,obv,query518,214.632,75.0,light,dark,78.89,0.996061,0.348865,1,1,True,False
755617,rev,fullres,218.501,75.0,light,dark,78.952,0.998639,0.349038,1,1,True,False
755617,rev,query518,217.145,75.0,light,dark,78.91,0.996061,0.348667,1,1,True,False
755618,obv,fullres,213.977,75.0,light,dark,78.944,0.998639,0.339889,1,1,True,False
755618,obv,query518,212.687,75.0,light,dark,78.89,0.996061,0.33822,1,1,True,False
755618,rev,fullres,213.361,75.0,light,dark,78.952,0.998639,0.341322,1,1,True,False
755618,rev,query518,212.425,75.0,light,dark,78.91,0.996061,0.339677,1,1,True,False
755619,obv,fullres,225.77,75.0,light,dark,78.944,0.998639,0.387455,1,1,True,False
755619,rev,fullres,224.06,75.0,light,dark,78.952,0.998639,0.35947,1,1,True,False
755654,obv,fullres,215.014,75.0,light,dark,78.944,0.998639,0.332117,1,1,True,False
755654,rev,fullres,214.205,75.0,light,dark,78.952,0.998639,0.332533,1,1,True,False
